"Qualification","Experience","Rating","Place","Profile","Fees"
"BHMS, MD - Homeopathy",24,100,"Kakkanad, Ernakulam","Homeopath",100
"BAMS, MD - Ayurveda Medicine",12,98,"Whitefield, Bangalore","Ayurveda",350
"MBBS, MS - Otorhinolaryngology",9,95,"Mathikere - BEL, Bangalore","ENT Specialist",300
"BSc - Zoology, BAMS",12,95,"Bannerghatta Road, Bangalore","Ayurveda",250
"BAMS",20,100,"Keelkattalai, Chennai","Ayurveda",250
"BAMS",8,95,"Porur, Chennai","Ayurveda",100
"BHMS",42,95,"Karol Bagh, Delhi","Homeopath",200
"BDS",10,99,"Arekere, Bangalore","Dentist",200
"MBBS, MD - General Medicine",14,95,"Old City, Hyderabad","General Medicine",100
"BSc, BDS",23,95,"Athani, Ernakulam","Dentist",100
"MBBS, MS, DNB - ENT",5,95,"Thousand Lights, Chennai","ENT Specialist",700
"BAMS",7,95,"Somajiguda, Hyderabad","Ayurveda",100
"BDS, MDS",9,98,"Coimbatore Racecourse, Coimbatore","Dentist",200
"BDS, MDS - Oral & Maxillofacial Surgery",21,95,"Jubilee Hills, Hyderabad","Dentist",350
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",12,95,"Kondli, Delhi","ENT Specialist",500
"MBBS, MD - General Medicine",10,95,"Saroor Nagar, Hyderabad","General Medicine",200
"MBBS, Diploma in Otorhinolaryngology (DLO)",24,95,"Tambaram West, Chennai","ENT Specialist",100
"MBBS, MF- Homeopathy",5,95,"Purasawakkam, Chennai","Homeopath",300
"MBBS, MS - ENT",19,79,"KPHB, Hyderabad","ENT Specialist",400
"MBBS",19,100,"HSR Layout, Bangalore","General Medicine",150
"MDS, DNB, BDS",21,100,"Pollachi, Coimbatore","Dentist",100
"MBBS, DNB - ENT",14,95,"Vasundhra Enclave, Delhi","ENT Specialist",500
"MBBS",41,95,"Chembur, Mumbai","General Medicine",200
"MBBS, Fellowship of College of General Practice (FCGP)",31,95,"Thammanam, Ernakulam","General Medicine",100
"MBBS, DDVL",23,95,"Andheri, Mumbai","Dermatologists",100
"BDS",5,95,"Pattom, Thiruvananthapuram","Dentist",100
"MBBS, IBCLC (USA)",25,100,"HSR Layout, Bangalore","General Medicine",500
"MBBS, MD - General Medicine, Post Graduate Diploma in Diabetology (PGDD)",12,95,"Kukatpally, Hyderabad","General Medicine",250
"BDS, MDS",16,95,"Vadavalli, Coimbatore","Dentist",100
"Diploma in Dermatology, MBBS",15,97,"Defence Colony, Delhi","Dermatologists",500
"MBBS, DDVL, Fellowship in Aesthetic Medicine",7,97,"Banjara Hills, Hyderabad","Dermatologists",500
"BDS",11,95,"Sion West, Mumbai","Dentist",500
"MBBS, MS - ENT",14,94,"CR Park, Delhi","ENT Specialist",100
"DM - Neurology, MD - Pediatrics, MBBS",23,88,"Mogappair East, Chennai","General Medicine",500
"BAMS",9,95,"IP Extension, Delhi","Ayurveda",300
"BDS, MDS - Oral & Maxillofacial Surgery, Fellowship in Cleft Lip and Craniofacial Surgery",15,100,"Safdarjung Enclave, Delhi","Dentist",400
"BDS",10,95,"New Friends Colony, Delhi","Dentist",250
"BHMS, Diploma in Cosmetology",12,90,"Borivali West, Mumbai","Homeopath",300
